id видео;Название видео;Публикация видео;Просмотров;Лайков;Дизлайков;Положительных комментариев (всего);Негативных комментариев (всего);Комментарий
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;With his orange face...he rules the fucking world. Oh wait....just the U.S.A -.-
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;And I am not giving up!!!! Ever.
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;Donald Trump is the Fukboy of all times these racist Assholes believe anything this uneducated racist POS says
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;Lol @ CNN posting this.
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;cnn is much far away from making fake news comparing to China cctv
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;respect trump hope theres no clashes with china
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;Coal is a stupid thing to invest in. Renewables are cheaper to produce with, potentially unlimited and pollution free.
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;&quot;BILLIONS AND BILLIONS AND BILLIONS&quot; that&#39;s my ring tone
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;I love this man. Keep being strong, President Trump. Best wishes from Germany.
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;America is a scary country.. they turn everything into a show so they loose their sense of reality
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;It&#39;s a shame he Tries to run our Country like a television station whose on the hunt for ratings, &quot;GET OFF THE STAGE CLOWN&quot;
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;TRUMP is AWESOME cnn sucks
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;Dude scares me, i voted for mickey mouse and I think he could make this country great again....
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;He thinks he’s bigger than the U.S.
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;He has the mind of a squirrel
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;As a foreigner, trump is very smart and sober.
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;Who TF is this guy??!! Seriously?! :-/
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;I thought Chinese are brain washed
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;TRUMP FOR DICTATOR. WE AMERICANS SUPPORT HIM for PREAIDENT FOR LIFE!!!
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;HELP TO BRAKE DOWN FAKE CNN AND MSNBC CRUP OF MEDIA
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;CNN PEACE OF SHIT AS MSNBC CRUP SHIT.<br />TRUMP !!!
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;jesus christ americans are brainwashed lol.
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;作为一个外国看美国总统特朗普，特朗普是一个少有清醒的人，美国人选特朗普当总统是天佑美国
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;Ukrainian stermined 3000 dogs,!!!!ten Yeats 3000!!! And polonian
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;It&#39;s so good to see people finally realizing that CNN really are fake news! MAGA
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;fuck you stupid potus.
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;TRUMP, STOP KILLING UKRAIN 🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦!!!!!!!!!!
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;My god this guy just talks  so much bullshit
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;First HONEST PRESIDENT in my LIFETIME since the CIA whacked KENNEDY!  Balls of STEEL!
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;sleeping son of bitch hhhhhhhhhhhhhhhhhhhhhh
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;He had them eating out of his small hands.
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;He is so stupid I want him to die
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;MAGA, Trump just keeps on winning. Blood and Soil
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;What a CUNT this man truly is
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;Trump makes Citizen Kane look like a 8 year old.
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;I skipped through and read CNN&#39;s captions expecting to hear about them...but Trump is talking about completely random topics the whole time lol
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;fuck this idiot stupid mother fucker red neck
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;“The only thing we’ll be watching, is deep CNN” lol
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;Trump is God.....you spics and nigras
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;Kill Bill Clinton and Give Hillary a bukakke party
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;Kill all Messicans and Kneeegrows..and Trailer park freeloading Scum!
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;Bomb Those Chinks Trump! Stop Talking And Do it!
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;God Bless Donald Trump! Kill all Muslims...
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;He is still doing driugs. What a fucking orange nut job but the white traitors to the USA, his supporters
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;Fake news! This man is awesome . Who cares if he’s not perfect. He does more than fucktards before him
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;The best president ever I&#39;m going to make nice tattoo about him
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;Tax cut good for trompas and his big business not on benefit for regular workers, open your eyes smart people
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;&quot;Maxine Waters: A very low IQ individual&quot;
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;Go Trump !<br />Expose those bastards -
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;I DIN&#39;T KNOW YOU WENT TO COLLEGE
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;Can you teach me how to grab the a woman&#39;s pussy?
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;FAKE BREAKING CNN NEWZ: &quot;Trump:  , I know Oprah&#39;s weakness&quot;    That&#39;s all you got, you shit-flinging slander monkeys?
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;WHAT A FUCKING IDIOT..
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;It&#39;s the truth he just keep on talking about him self
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;Maybe you’ll get poisoned or killed when you visit Korea bitch boy🤘🏻🤣
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;Trump trumpets the American decadence
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;Always fun watching these rallies.
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;CNN makes themselves look bad with these out of context selective quotes right in front of your face as if their viewers are retarded 🚌
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;Dude’s face is gettin eaten by his own neck! Swumpland
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;Why does this have the look and feel of a WWE rant session?
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;If he can De-Nuke North Korea, a lot of his shenanigans will be more acceptable to the general public.
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;So really this was all for one crazy guy to toot his own horn and pat himself on the back. Nothing new then
Ke4FykCxwcc;Trump unscripted and unleashed in Pennsylvania stump speech;11.03.2018 5:59:12;637601;3325;3082;6;62;Dudes a rockstar lol totally destroys the fake news outlets on the daily
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;how much she want. how much cnn offer you. are you a mom telling the world ur ah. if your my mom i kill myself.
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;There&#39;s a letter m scratched out wounder what that means ? ? ? ? ? ? ? ?
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;How much is she being paid to talk about this. It’s all about money.
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;Prostitute, that&#39;s what she is.
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;I’m not that kind of girl but I’m a playboy playmate right. Like a gold ring in a pig’s snout is a beautiful woman who shows no discretion.
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;<b>idgf what this is about but the chick was hot, so i fapped and came all over her face on screen.</b>
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;<a href="https://youtu.be/oVuR-KRya_g">https://youtu.be/oVuR-KRya_g</a>.  Do you want trump as a next president? Very funny reactions...
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;Gay sleeze journalism.
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;Karen McDougal and Stormy Daniels = professional  degenerate load swallowers
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;Karen McDougal = air head bimbo telling lies 100% Confirmed.
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;So, she bangs another woman&#39;s husband and now she wants to make money from talking about it.
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;Guilt but I got over it........pretty fast huh?
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;Anderson you are asking weird questions?
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;She&#39;s dumb........come on little bunny. Really??????
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;Last time i checked, extramarital affairs are not unconstitutional
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;Why is this even news? Donald likes to screw hotties. Mind blowing
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;She looks surprisingly young for 47 years!
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;Still covering the important news of the day. Where would us redneck simpletons be without the National Enquirer and CNN?
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;Anderson would have sucked his cock.
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;Why now? Why? What&#39;s the motive for all of these?
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;A dime a dozen jilted Ho only looking for a payoff - just one more stupid whore yesterday, today and tomorrow.
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;the pinnacle of low self worth, how ironic.
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;Hey Christian conservatives ....... so ...... another mulligan??
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;One of the most pointless interviews, really.
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;McDougal: &quot;I&#39;m smart&quot; I&#39;m not that type of girl&quot;!! WTF!! amazingly blind and clueless woman.
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;She likes his mind...<a href="https://www.youtube.com/watch?v=mYaeTtUh77I&amp;t=2m03s">2:03</a>
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;<a href="https://youtu.be/IZal6zUEXlM">https://youtu.be/IZal6zUEXlM</a>
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;Sadly this will be forgotten after a week the MSM is trash
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;Well, you thought he was smart. That&#39;s when you lost me.
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;&quot;I had never been offered money like that before...&quot; So, you whore, have been offered money then.
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;If only these bimbos didn&#39;t swallow there&#39;d be evidence. Just ask Monica.
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;she is acting, not a bad actress, trying to cover for he
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;3million subscribers... -.-  Lets hope those are fake, woudn&#39;t be the first time YouTube has faked numbers.
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;Lol you spread your legs you hoe. This hoes all they want is attention. If you have sex before marriage you are a hoe
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;So what does she gain from this interview? Money?
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;poor little whore fell in love with his money
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;Every body deserve a second chance we all make mistakes!!!!!!!!😏😏😏😏
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;She used to be really pretty.
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;cnn digging deep into the gutter
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;I feel bad for Melania.
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;CNN.... the most trusted name in REVENGE PORN!  Who&#39;s your next hire, Jerry Springer?  Maury Povich?
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;This is just wrong and nasty!!!!. God please help!!!!. 😮😮😮😮😮😮😮😮😯😯😯😯😯😭😭😭😭😭😭
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;Whats the deal with these women choosing to sleep with him? And talking about it now. This makes no sense to me.
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;I think no one would be one a playmate without some psychological damage so I kinda get that she got sucked into what she thought was a relationship.
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;Who the hell cares. Anderson, CNN has turned into the National Inquirer of TV.
mYaeTtUh77I;Playboy model speaks out on time with Trump;23.03.2018 3:57:35;554101;2557;1017;5;63;Another paid stool pigeon for CNN. Sadly, she isn&#39;t smart enough to know it.
