id видео;Название видео;Публикация видео;Просмотров;Лайков;Дизлайков;Положительных комментариев (всего);Негативных комментариев (всего);Комментарий
Oj6CuiWCpgA;От любви до ненависти: как менялось отношение россиян к Трампу — Гражданская оборона, 25.04;25.04.2017 21:30:01;12919;162;3;0;0;Мерзликин нализался у кадырки!
Oj6CuiWCpgA;От любви до ненависти: как менялось отношение россиян к Трампу — Гражданская оборона, 25.04;25.04.2017 21:30:01;12919;162;3;0;0;А теперь про хохлов, как они глумились над  Трампом , а когда он стал президентом, обдристали шаровары, и умаляют чтоб он позволил им полизать анус.
Oj6CuiWCpgA;От любви до ненависти: как менялось отношение россиян к Трампу — Гражданская оборона, 25.04;25.04.2017 21:30:01;12919;162;3;0;0;теперь вАтА кричит обама вернись
Oj6CuiWCpgA;От любви до ненависти: как менялось отношение россиян к Трампу — Гражданская оборона, 25.04;25.04.2017 21:30:01;12919;162;3;0;0;лошье кацапское думало благодать настанет с трампушкой
Oj6CuiWCpgA;От любви до ненависти: как менялось отношение россиян к Трампу — Гражданская оборона, 25.04;25.04.2017 21:30:01;12919;162;3;0;0;РОССИЯ - НЕ ЗЛИТЕ ТРАМПУ ! ОН ВАМ НЕ КОРОТЫШКА ПУТИНА И НЕ КЛОУН !  ТРАМП ЧЕЛОВЕК СЛОВА !!!   ...............
Oj6CuiWCpgA;От любви до ненависти: как менялось отношение россиян к Трампу — Гражданская оборона, 25.04;25.04.2017 21:30:01;12919;162;3;0;0;Трампушка начал гадить в наших подьездах?
rSyuX3Ljdfc;Как менялось отношение к Трампу на телеканалах и у россиян;05.08.2017 10:00:04;5483;242;21;1;2;после шампанского в честь инаугурации Трампа, он посадил Путина и компанию на политическую бутылку!
rSyuX3Ljdfc;Как менялось отношение к Трампу на телеканалах и у россиян;05.08.2017 10:00:04;5483;242;21;1;2;Ну, что тут сказать... Киселев  хорошо работает.
rSyuX3Ljdfc;Как менялось отношение к Трампу на телеканалах и у россиян;05.08.2017 10:00:04;5483;242;21;1;2;Долбанные политикашки
rSyuX3Ljdfc;Как менялось отношение к Трампу на телеканалах и у россиян;05.08.2017 10:00:04;5483;242;21;1;2;Россиянцы такие овощи, которых удобряют добротно путинским навозом.
