id видео;Название видео;Публикация видео;Просмотров;Лайков;Дизлайков;Положительных комментариев (всего);Негативных комментариев (всего);Комментарий
3DKdSxnItDo;Трамп нехотя избежал "шатдауна";24.03.2018 14:48:33;4363;57;4;0;0;Трампапупсик, я соскучилась❤👅
3DKdSxnItDo;Трамп нехотя избежал "шатдауна";24.03.2018 14:48:33;4363;57;4;0;0;бла, бла, бла, столько опасении а в итоге каждый раз подписывают бюджет)))
3DKdSxnItDo;Трамп нехотя избежал "шатдауна";24.03.2018 14:48:33;4363;57;4;0;0;Очередной дефолт. Скока там уже? 23 триллиона долларов?<br />Очень высоко залезли.<br />Эх, падение будет тем больнее, чем выше планка долга.
3DKdSxnItDo;Трамп нехотя избежал "шатдауна";24.03.2018 14:48:33;4363;57;4;0;0;Сами себе в долг дают :)
3DKdSxnItDo;Трамп нехотя избежал "шатдауна";24.03.2018 14:48:33;4363;57;4;0;0;Как все таки приятно вас слушать.
dfoj8PfdWGU;Речь Дональда Трампа в Конгрессе США | 30.01.18;31.01.2018 7:23:04;41018;896;102;3;4;Mayis ayinda Tramp i  israyilde cehenneme yolcu edecegiz yani oldurulecek tramp
dfoj8PfdWGU;Речь Дональда Трампа в Конгрессе США | 30.01.18;31.01.2018 7:23:04;41018;896;102;3;4;P E R E V O D C H I K
dfoj8PfdWGU;Речь Дональда Трампа в Конгрессе США | 30.01.18;31.01.2018 7:23:04;41018;896;102;3;4;Суперский президент! Амеры - это нация флагман для других наций. Пусть Россия станет такой.
dfoj8PfdWGU;Речь Дональда Трампа в Конгрессе США | 30.01.18;31.01.2018 7:23:04;41018;896;102;3;4;Внебрачный сын Муссолини и Бэни Хилла....
dfoj8PfdWGU;Речь Дональда Трампа в Конгрессе США | 30.01.18;31.01.2018 7:23:04;41018;896;102;3;4;это они полтора часа приседали и хлопали)),слегка недократично смотриться
dfoj8PfdWGU;Речь Дональда Трампа в Конгрессе США | 30.01.18;31.01.2018 7:23:04;41018;896;102;3;4;Пиидорская пииздлявая америка какая мерзкая трусливая и лживая нация отродие сборище ублюдков
dfoj8PfdWGU;Речь Дональда Трампа в Конгрессе США | 30.01.18;31.01.2018 7:23:04;41018;896;102;3;4;перевод отстой! с самого начала &quot;первая ДАМА Соединённых Штатов&quot; ушам своим не верю! даже в 90е лучше переводили
dfoj8PfdWGU;Речь Дональда Трампа в Конгрессе США | 30.01.18;31.01.2018 7:23:04;41018;896;102;3;4;По слушаю с человек то грамотный.
dfoj8PfdWGU;Речь Дональда Трампа в Конгрессе США | 30.01.18;31.01.2018 7:23:04;41018;896;102;3;4;как красиво патриотично говорит трампито поднимает дух своего великого народа
dfoj8PfdWGU;Речь Дональда Трампа в Конгрессе США | 30.01.18;31.01.2018 7:23:04;41018;896;102;3;4;Класс, как будто школьник какой то переводил
dfoj8PfdWGU;Речь Дональда Трампа в Конгрессе США | 30.01.18;31.01.2018 7:23:04;41018;896;102;3;4;Мне нравиться этот рыжик
dfoj8PfdWGU;Речь Дональда Трампа в Конгрессе США | 30.01.18;31.01.2018 7:23:04;41018;896;102;3;4;ВЕЛИКАЯ СТРАНА , ВЕЛИКАЯ НАЦИЯ , жаль , что моя не такая...
dfoj8PfdWGU;Речь Дональда Трампа в Конгрессе США | 30.01.18;31.01.2018 7:23:04;41018;896;102;3;4;На западе всегда были и будут выдающиеся политики и ораторы... увы мы сильно отстаем и разрыв между цивилизацией и Россией только увеличивается.
dfoj8PfdWGU;Речь Дональда Трампа в Конгрессе США | 30.01.18;31.01.2018 7:23:04;41018;896;102;3;4;Не читает постоянно по бумажке как некоторые...
dfoj8PfdWGU;Речь Дональда Трампа в Конгрессе США | 30.01.18;31.01.2018 7:23:04;41018;896;102;3;4;терроризм, Китай и Россия - вот ужасная угроза США. будем знать
dfoj8PfdWGU;Речь Дональда Трампа в Конгрессе США | 30.01.18;31.01.2018 7:23:04;41018;896;102;3;4;молодец Трамп! на самом деле много делает, а не просто к кормушке дорвался
dfoj8PfdWGU;Речь Дональда Трампа в Конгрессе США | 30.01.18;31.01.2018 7:23:04;41018;896;102;3;4;За год сделал столько что просто вызывает восхищение
dfoj8PfdWGU;Речь Дональда Трампа в Конгрессе США | 30.01.18;31.01.2018 7:23:04;41018;896;102;3;4;В Америке - пришёл, сделал, ушёл. <br />В РФ - пришёл и застрял навеки, пока не загонит страну в войны и разруху окончательно.
dfoj8PfdWGU;Речь Дональда Трампа в Конгрессе США | 30.01.18;31.01.2018 7:23:04;41018;896;102;3;4;Акмерику не президент правит америку правит богатые люди, пентагон президент никто проста для видов других государствах
dfoj8PfdWGU;Речь Дональда Трампа в Конгрессе США | 30.01.18;31.01.2018 7:23:04;41018;896;102;3;4;Спасибо что ты убрал штраф обамакаре 😘
dfoj8PfdWGU;Речь Дональда Трампа в Конгрессе США | 30.01.18;31.01.2018 7:23:04;41018;896;102;3;4;Да, перевод отличный!
dfoj8PfdWGU;Речь Дональда Трампа в Конгрессе США | 30.01.18;31.01.2018 7:23:04;41018;896;102;3;4;А говорят, что американцы менее духовные. У них с духовностью всё в порядке.
dfoj8PfdWGU;Речь Дональда Трампа в Конгрессе США | 30.01.18;31.01.2018 7:23:04;41018;896;102;3;4;-Кто такой Аксакал?<br /> -Патриарх!
dfoj8PfdWGU;Речь Дональда Трампа в Конгрессе США | 30.01.18;31.01.2018 7:23:04;41018;896;102;3;4;и он получает за такую работу $1 в месяц..?
dfoj8PfdWGU;Речь Дональда Трампа в Конгрессе США | 30.01.18;31.01.2018 7:23:04;41018;896;102;3;4;Идиоты встают и хлопают по пол часа. Сектанты...
dfoj8PfdWGU;Речь Дональда Трампа в Конгрессе США | 30.01.18;31.01.2018 7:23:04;41018;896;102;3;4;Увидим если они нам не будут мешать у них было намного хуже но им некто не мешал как они нам мешают мы будем жить намного лучше
dfoj8PfdWGU;Речь Дональда Трампа в Конгрессе США | 30.01.18;31.01.2018 7:23:04;41018;896;102;3;4;Трамп и Мелания - это более гармонично, чем Путин и его &quot;жена&quot; Дима Медведев.
dfoj8PfdWGU;Речь Дональда Трампа в Конгрессе США | 30.01.18;31.01.2018 7:23:04;41018;896;102;3;4;Гад сэйв де ЮЭСЭЙ, <br />God save the USA
